mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,param_class_weight,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,method,iter,running_best
14.664488871892294,2.0675336243258187,5.413882573445638,0.3142921665946068,10,8,2,,15,entropy,balanced,False,"{'n_estimators': 10, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 15, 'criterion': 'entropy', 'class_weight': 'balanced', 'bootstrap': False}",0.7888361032324962,0.7784501511776315,0.7855326770094714,0.7842729771398664,0.004332599900183049,46,random,0,0.7842729771398664
11.920030037562052,1.3797078194189891,7.323345263799031,0.35658731306004043,150,8,4,sqrt,5,log_loss,balanced,False,"{'n_estimators': 150, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'log_loss', 'class_weight': 'balanced', 'bootstrap': False}",0.857701509438761,0.8598303919037649,0.8567876673307302,0.8581065228910854,0.0012747732162388795,34,random,1,0.8581065228910854
3.678914229075114,0.6242351498669408,5.579689025878906,0.35365443133421426,10,5,1,log2,5,entropy,,True,"{'n_estimators': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'entropy', 'class_weight': None, 'bootstrap': True}",0.852784692014235,0.8544704288865105,0.8516579464048679,0.8529710224352044,0.0011557259469616404,43,random,2,0.8581065228910854
24.783712148666382,0.4589900354303031,5.263881762822469,0.770477192874813,10,5,4,,20,entropy,,False,"{'n_estimators': 10, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy', 'class_weight': None, 'bootstrap': False}",0.7738844175614706,0.7677938597135615,0.7739876250147597,0.7718886340965972,0.0028957492847940768,48,random,3,0.8581065228910854
84.49544326464336,0.5966952638554192,6.696829716364543,0.38386733584647964,50,5,1,,15,entropy,,False,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 15, 'criterion': 'entropy', 'class_weight': None, 'bootstrap': False}",0.7824361651118432,0.7777198732337625,0.7799149451133898,0.7800236611529985,0.0019269521102445323,47,random,4,0.8581065228910854
17.142712990442913,0.5210440921451565,9.270510594050089,0.9787112419002352,50,2,2,log2,15,entropy,,False,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 15, 'criterion': 'entropy', 'class_weight': None, 'bootstrap': False}",0.893400340896104,0.8925850323506427,0.8908339152231926,0.8922730961566464,0.0010707048536636621,11,random,5,0.8922730961566464
76.44203074773152,1.3268765522511738,7.158591826756795,0.6722198779687786,100,5,4,,10,log_loss,balanced,True,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 10, 'criterion': 'log_loss', 'class_weight': 'balanced', 'bootstrap': True}",0.8854853217835095,0.8836529712724844,0.8834604236256937,0.8841995722272292,0.0009125541409243897,20,random,6,0.8922730961566464
75.3455958366394,0.31241880346122936,8.693445523579916,0.7235456145186843,100,2,4,,10,entropy,balanced,True,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 10, 'criterion': 'entropy', 'class_weight': 'balanced', 'bootstrap': True}",0.8854853217835095,0.8836529712724844,0.8834604236256937,0.8841995722272292,0.0009125541409243897,20,random,7,0.8922730961566464
50.30807042121887,1.8859020924057892,9.96018616358439,0.9936779080843526,200,2,2,log2,10,log_loss,,False,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'log_loss', 'class_weight': None, 'bootstrap': False}",0.8831860632862418,0.8816517201046845,0.8806486802229371,0.8818288212046211,0.0010434244269664917,24,random,8,0.8922730961566464
15.094457149505615,0.49745177242698785,9.803321361541748,0.7750944743871004,10,8,1,log2,5,gini,balanced,False,"{'n_estimators': 10, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'gini', 'class_weight': 'balanced', 'bootstrap': False}",0.852666614647849,0.853234807058542,0.8527697591060341,0.8528903936041417,0.00024715064972946946,44,random,9,0.8922730961566464
