mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,param_class_weight,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,method,iter,running_best
0.976738691329956,0.11702701835631402,2.2404672304789224,1.325327341830734,10,8,2,,15,entropy,balanced,False,"{'n_estimators': 10, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 15, 'criterion': 'entropy', 'class_weight': 'balanced', 'bootstrap': False}",0.9401718386969788,0.9322245709250209,0.9390660762158093,0.9371541619459363,0.0035148568857833887,48,random,0,0.9371541619459363
4.023334741592407,0.3078822981018562,3.0928072929382324,0.6050887783584427,150,8,4,sqrt,5,log_loss,balanced,False,"{'n_estimators': 150, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'log_loss', 'class_weight': 'balanced', 'bootstrap': False}",0.9703543775190409,0.9688831004448036,0.9724674975387977,0.9705683251675473,0.0014711233415510199,28,random,1,0.9705683251675473
0.21120119094848633,0.037439465618227676,0.7780728340148926,0.1296515576373947,10,5,1,log2,5,entropy,,True,"{'n_estimators': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'entropy', 'class_weight': None, 'bootstrap': True}",0.9534000638878601,0.9532389632319485,0.9578354866777075,0.9548248379325054,0.002129865841717746,45,random,2,0.9705683251675473
0.8914462725321451,0.12370334628795616,1.3262077967325847,1.456709184756855,10,5,4,,20,entropy,,False,"{'n_estimators': 10, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy', 'class_weight': None, 'bootstrap': False}",0.894987968271455,0.8997581385879637,0.9046850585132715,0.8998103884575634,0.003958992912862077,49,random,3,0.9705683251675473
4.932125091552734,0.26095661557109356,3.389966090520223,0.4228599503150703,50,5,1,,15,entropy,,False,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 15, 'criterion': 'entropy', 'class_weight': None, 'bootstrap': False}",0.9386387756379145,0.9285527445373202,0.9454479471982316,0.9375464891244887,0.006940546837671876,47,random,4,0.9705683251675473
4.043962796529134,0.9176449924764185,3.004060665766398,0.6339025745677888,50,2,2,log2,15,entropy,,False,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 15, 'criterion': 'entropy', 'class_weight': None, 'bootstrap': False}",0.9740066274559172,0.9722556004233012,0.9761285292302936,0.9741302523698373,0.0015835312280920862,16,random,5,0.9741302523698373
6.88208254178365,0.3125544974888283,3.5666073163350425,0.35940907803805133,100,5,4,,10,log_loss,balanced,True,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 10, 'criterion': 'log_loss', 'class_weight': 'balanced', 'bootstrap': True}",0.9766200174927581,0.9749840785662633,0.9783184426557858,0.9766408462382691,0.0013613281132418542,2,random,6,0.9766408462382691
7.122527440388997,0.42159115622314364,2.0069186687469482,0.870926790584015,100,2,4,,10,entropy,balanced,True,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 10, 'criterion': 'entropy', 'class_weight': 'balanced', 'bootstrap': True}",0.9766200174927581,0.9749840785662633,0.9783184426557858,0.9766408462382691,0.0013613281132418542,2,random,7,0.9766408462382691
6.453856786092122,0.6037980415330878,2.5422987937927246,1.1136423156589403,200,2,2,log2,10,log_loss,,False,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'log_loss', 'class_weight': None, 'bootstrap': False}",0.9717950378488274,0.9690733230051993,0.9742444150590291,0.9717042586376853,0.002112065167267518,23,random,8,0.9766408462382691
3.6466011206309,0.3978298858877743,1.3981045087178547,0.5070841871490758,10,8,1,log2,5,gini,balanced,False,"{'n_estimators': 10, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'gini', 'class_weight': 'balanced', 'bootstrap': False}",0.9660810400768983,0.9627756488283148,0.9681701716317984,0.9656756201790038,0.002220884664502382,39,random,9,0.9766408462382691
4.227307001749675,0.3923805186503704,3.921144882837931,0.10631501690673625,50,2,2,log2,15,gini,,True,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 15, 'criterion': 'gini', 'class_weight': None, 'bootstrap': True}",0.9705405109427971,0.9690199803151199,0.9732574236114028,0.97093930495644,0.0017527614253497437,25,random,10,0.9766408462382691
5.9672032197316485,0.6720180654258658,2.4291797478993735,0.022160013297246827,200,5,2,log2,20,entropy,,False,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'entropy', 'class_weight': None, 'bootstrap': False}",0.9727686000627237,0.9707788161857814,0.9763865288747482,0.9733113150410845,0.0023212805462075638,19,random,11,0.9766408462382691
