mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,method,iter,running_best
0.19544634819030762,0.04199840247322851,0.050905370712280275,0.03430167900084403,False,,entropy,9,log2,5,8,10,"OrderedDict([('bootstrap', False), ('class_weight', None), ('criterion', 'entropy'), ('max_depth', 9), ('max_features', 'log2'), ('min_samples_leaf', 5), ('min_samples_split', 8), ('n_estimators', 10)])",0.9683506322868853,0.9653296201406739,0.9657267293975473,0.9694875616412897,0.972759322708439,0.9683307732349672,0.002710666650125876,41,bayes,12,0.9763918220039798
0.5138834476470947,0.0767295590671043,0.07226500511169434,0.053343592534272274,False,,entropy,9,,5,7,10,"OrderedDict([('bootstrap', False), ('class_weight', None), ('criterion', 'entropy'), ('max_depth', 9), ('max_features', None), ('min_samples_leaf', 5), ('min_samples_split', 7), ('n_estimators', 10)])",0.9738217693803721,0.9732876239478689,0.9723371392143003,0.975777801458987,0.9747666671380462,0.9739982002279148,0.0011876609043223406,25,bayes,13,0.9763918220039798
0.936308765411377,0.07418857947355144,0.06310915946960449,0.024291064372192507,True,balanced,log_loss,13,log2,5,5,48,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'log_loss'), ('max_depth', 13), ('max_features', 'log2'), ('min_samples_leaf', 5), ('min_samples_split', 5), ('n_estimators', 48)])",0.9768218584298802,0.974951464985703,0.9750325040812673,0.9775491362643711,0.9774505506049482,0.976361102873234,0.0011456761414599516,12,bayes,14,0.9763918220039798
1.2688917160034179,0.1047029966578452,0.1092947006225586,0.06436369228289043,False,,gini,11,,1,5,19,"OrderedDict([('bootstrap', False), ('class_weight', None), ('criterion', 'gini'), ('max_depth', 11), ('max_features', None), ('min_samples_leaf', 1), ('min_samples_split', 5), ('n_estimators', 19)])",0.9704041786355371,0.9704758933075706,0.9692423403019375,0.9728518730265191,0.9704554132213874,0.9706859396985903,0.0011791435568898351,39,bayes,15,0.9763918220039798
3.2909098148345945,0.7487953861171517,0.9472310543060303,0.685328836034139,True,balanced,gini,15,log2,5,2,200,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'gini'), ('max_depth', 15), ('max_features', 'log2'), ('min_samples_leaf', 5), ('min_samples_split', 2), ('n_estimators', 200)])",0.9775614444133462,0.9751530645817155,0.9749717058075138,0.9779429233476296,0.9782337813458961,0.9767725838992203,0.001413725435463451,5,bayes,16,0.9767725838992203
2.5722830295562744,0.48190008998758943,0.5384935855865478,0.43502582337824086,False,balanced,entropy,10,,5,2,49,"OrderedDict([('bootstrap', False), ('class_weight', 'balanced'), ('criterion', 'entropy'), ('max_depth', 10), ('max_features', None), ('min_samples_leaf', 5), ('min_samples_split', 2), ('n_estimators', 49)])",0.9750540589139821,0.9721200241818437,0.9720339817370678,0.9758768416629462,0.9746725764190375,0.9739514965829755,0.0015794750926229324,27,bayes,17,0.9767725838992203
1.971505880355835,0.28684241344590306,0.16101250648498536,0.13694468879422964,False,,log_loss,18,log2,3,8,86,"OrderedDict([('bootstrap', False), ('class_weight', None), ('criterion', 'log_loss'), ('max_depth', 18), ('max_features', 'log2'), ('min_samples_leaf', 3), ('min_samples_split', 8), ('n_estimators', 86)])",0.9747190366723261,0.9724507506186211,0.9714266054661034,0.9763453508174731,0.9760533312053914,0.974199014955983,0.001952349945141646,23,bayes,18,0.9767725838992203
3.792755699157715,0.02746035709932791,0.11683282852172852,0.009524120249559814,True,balanced,entropy,11,log2,1,8,200,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'entropy'), ('max_depth', 11), ('max_features', 'log2'), ('min_samples_leaf', 1), ('min_samples_split', 8), ('n_estimators', 200)])",0.9773204244902117,0.9748435644749267,0.9750412473076674,0.9777470146524956,0.9778470144504758,0.9765598530751554,0.0013338977419992306,8,bayes,19,0.9767725838992203
2.5326852798461914,0.26681734970184434,0.09459929466247559,0.027894848302167836,True,,log_loss,2,,2,3,164,"OrderedDict([('bootstrap', True), ('class_weight', None), ('criterion', 'log_loss'), ('max_depth', 2), ('max_features', None), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 164)])",0.8253145817912657,0.8282753515914137,0.8330866025166543,0.8346893491124261,0.8380177514792899,0.83187672729821,0.004541331922298338,50,bayes,20,0.9767725838992203
0.4615443229675293,0.04445656916511549,0.031009531021118163,0.006819840291742636,False,,entropy,7,,5,2,10,"OrderedDict([('bootstrap', False), ('class_weight', None), ('criterion', 'entropy'), ('max_depth', 7), ('max_features', None), ('min_samples_leaf', 5), ('min_samples_split', 2), ('n_estimators', 10)])",0.9702318410515808,0.9700613734062186,0.9706310982108933,0.9733378316407442,0.9719133395690109,0.9712350967756895,0.001235351776757041,37,bayes,21,0.9767725838992203
