mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,method,iter,running_best
50.99206385612488,0.3602232299207265,0.12199363708496094,0.029380031641918894,True,balanced,log_loss,8,,3,4,151,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'log_loss'), ('max_depth', 8), ('max_features', None), ('min_samples_leaf', 3), ('min_samples_split', 4), ('n_estimators', 151)])",0.8794407581731336,0.8771191354175325,0.8722864970581009,0.8801209972013571,0.8754658954770802,0.8768866566654407,0.002836140700014623,35,bayes,0,0.8768866566654407
66.70697054862976,0.17587334482511405,0.06590738296508789,0.01827626964679837,False,balanced,gini,19,,1,3,77,"OrderedDict([('bootstrap', False), ('class_weight', 'balanced'), ('criterion', 'gini'), ('max_depth', 19), ('max_features', None), ('min_samples_leaf', 1), ('min_samples_split', 3), ('n_estimators', 77)])",0.7508608412499269,0.7530589894250018,0.7431145617311402,0.7515677893794234,0.7481273411664987,0.7493459045903982,0.0035023801830966336,50,bayes,1,0.8768866566654407
8.96281123161316,0.4688099704274491,0.578349256515503,0.26859240778765514,True,balanced,gini,10,sqrt,3,3,153,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'gini'), ('max_depth', 10), ('max_features', 'sqrt'), ('min_samples_leaf', 3), ('min_samples_split', 3), ('n_estimators', 153)])",0.8842816784687401,0.8826293836191008,0.8798057749363667,0.8834530847577349,0.8813920987492638,0.8823124041062413,0.001575425124873097,28,bayes,2,0.8823124041062413
18.09121870994568,0.8014105063322152,0.948529577255249,0.6881221963743167,False,,entropy,16,log2,1,7,176,"OrderedDict([('bootstrap', False), ('class_weight', None), ('criterion', 'entropy'), ('max_depth', 16), ('max_features', 'log2'), ('min_samples_leaf', 1), ('min_samples_split', 7), ('n_estimators', 176)])",0.8994343409014569,0.8965461456909287,0.8948333224050643,0.8966577260622208,0.8955081406757869,0.8965959351470915,0.001571810728027373,9,bayes,3,0.8965959351470915
73.51484074592591,0.287707109861761,0.09960989952087403,0.04147058738275661,False,,entropy,15,,4,5,134,"OrderedDict([('bootstrap', False), ('class_weight', None), ('criterion', 'entropy'), ('max_depth', 15), ('max_features', None), ('min_samples_leaf', 4), ('min_samples_split', 5), ('n_estimators', 134)])",0.8004225822210507,0.7986609646707806,0.7944285752106801,0.7973812769302957,0.8052335527144603,0.7992253903494535,0.003584970000062234,47,bayes,4,0.8965959351470915
24.389961004257202,0.14759440271154672,0.13680558204650878,0.07490785337538484,False,balanced,gini,5,,2,5,112,"OrderedDict([('bootstrap', False), ('class_weight', 'balanced'), ('criterion', 'gini'), ('max_depth', 5), ('max_features', None), ('min_samples_leaf', 2), ('min_samples_split', 5), ('n_estimators', 112)])",0.839200722171117,0.8372085364322429,0.8322243826511029,0.840429643757631,0.8377816630472522,0.8373689896118691,0.002806630482855387,41,bayes,5,0.8965959351470915
10.02550392150879,0.5015785896249847,0.6252762317657471,0.35669533225000305,False,balanced,entropy,18,log2,3,6,90,"OrderedDict([('bootstrap', False), ('class_weight', 'balanced'), ('criterion', 'entropy'), ('max_depth', 18), ('max_features', 'log2'), ('min_samples_leaf', 3), ('min_samples_split', 6), ('n_estimators', 90)])",0.8993487780411842,0.8971314825326479,0.8936124541298478,0.897542927292808,0.8942848249495545,0.8963840933892084,0.0021344673246165994,11,bayes,6,0.8965959351470915
1.7461164951324464,0.3534241937279078,0.4891089916229248,0.33041250864660443,False,balanced,entropy,17,sqrt,1,5,15,"OrderedDict([('bootstrap', False), ('class_weight', 'balanced'), ('criterion', 'entropy'), ('max_depth', 17), ('max_features', 'sqrt'), ('min_samples_leaf', 1), ('min_samples_split', 5), ('n_estimators', 15)])",0.8866899043278049,0.8854590165673475,0.8807361695895443,0.8847989251064223,0.8834922180113722,0.8842352467204982,0.002031566999184353,26,bayes,7,0.8965959351470915
4.557806205749512,0.9861566119590377,0.851155138015747,0.9371645983251763,False,balanced,log_loss,9,log2,2,2,80,"OrderedDict([('bootstrap', False), ('class_weight', 'balanced'), ('criterion', 'log_loss'), ('max_depth', 9), ('max_features', 'log2'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 80)])",0.8797252989796107,0.8788237625015514,0.8751698339899896,0.8789674475212171,0.8769599070614316,0.8779292500107602,0.001652743240464652,33,bayes,8,0.8965959351470915
1.380903387069702,0.19451133267469609,0.17107439041137695,0.0840834151860658,True,balanced,log_loss,7,log2,2,4,39,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'log_loss'), ('max_depth', 7), ('max_features', 'log2'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 39)])",0.8706491028348297,0.8683378139236757,0.8657938934844013,0.8682881623159809,0.8680049544921384,0.8682147854102051,0.0015395563152972092,38,bayes,9,0.8965959351470915
19.399405813217165,0.4296424182232473,0.7013096809387207,0.3129306514798475,True,,log_loss,20,sqrt,1,5,199,"OrderedDict([('bootstrap', True), ('class_weight', None), ('criterion', 'log_loss'), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 1), ('min_samples_split', 5), ('n_estimators', 199)])",0.8999386130773612,0.8973485847159881,0.8954195565994263,0.8975115199503098,0.896561264054887,0.8973559076795944,0.001488324559510013,7,bayes,10,0.8973559076795944
