mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
7.612014691034953,0.04362781744664395,0.04821260770161947,0.001462312249987409,True,balanced,gini,16,,4,6,30,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 16, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 30}",0.9611378215292349,0.9623122007961012,0.96794053844859,0.9637968535913087,0.002968993635668258,4
29.310725212097168,0.6087407620641927,0.122740904490153,0.0029682342701438024,True,balanced,log_loss,12,,4,6,109,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_depth': 12, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 109}",0.9662173507817673,0.9680120192124738,0.9742137855633133,0.9694810518525182,0.0034258123101941138,2
3.424163738886515,0.16583336032742835,0.08068625132242839,0.0041944894920539644,False,balanced,log_loss,3,log2,2,3,197,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 197}",0.7923089693305698,0.8005560245426477,0.7925647529596499,0.7951432489442891,0.00382883455504552,47
3.339235544204712,0.10948950696494986,0.11303528149922688,0.0016797994062729609,True,,entropy,13,sqrt,1,4,68,"{'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 13, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 68}",0.9364644405600615,0.9382213715620884,0.9416400935327798,0.9387753018849766,0.0021489493596426913,8
2.9213240146636963,0.23948367618284827,0.12061635653177898,0.008228342425273804,True,balanced,log_loss,16,log2,3,5,64,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_depth': 16, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64}",0.9152136699554255,0.9169807488374335,0.9208797079681501,0.917691375587003,0.0023670994167704915,19
1.8456872304280598,0.06539115365505055,0.04793810844421387,0.0026316903757505027,False,balanced,gini,4,sqrt,3,6,82,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 82}",0.8288033619926376,0.8284510402845466,0.8394564198093427,0.832236940695509,0.005106968549789534,39
3.53065554300944,0.042459843568222376,0.18158777554829916,0.0022616031885546377,True,balanced,gini,15,log2,2,2,99,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 99}",0.9162412220838163,0.9151001405481377,0.9181714248017907,0.9165042624779148,0.001267567073407391,21
3.1916313966115317,0.1974862600913424,0.09861032168070476,0.007803061689921134,True,balanced,log_loss,8,sqrt,4,4,90,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 90}",0.8905121444753673,0.8849388177973518,0.884757663088686,0.8867362084538017,0.0026710140254636674,28
2.2362893422444663,0.1234163796939796,0.06570823987325032,0.005058594478291404,False,balanced,entropy,7,log2,2,5,63,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 63}",0.8513139760408553,0.8629716306501493,0.8480282624972356,0.8541046230627467,0.00641180401233911,34
0.8621400992075602,0.006064252147503843,0.043398539225260414,0.002022936580455524,True,,entropy,13,log2,2,7,23,"{'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 13, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 23}",0.8974109586955915,0.9075438546975805,0.9120215914162718,0.9056588016031478,0.0061118854702007066,23
