mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
30.647255023320515,1.0785011560149167,0.2949812412261963,0.02257115987304064,0.749816047538945,2.8521429192297485,0.05395030966670229,7,5,914,2.229163764267956,0.9997491581800289,3.2962444598293357,0.7334834444556088,"{'colsample_bytree': np.float64(0.749816047538945), 'gamma': np.float64(2.8521429192297485), 'learning_rate': np.float64(0.05395030966670229), 'max_depth': 7, 'min_child_weight': 5, 'n_estimators': 914, 'reg_alpha': np.float64(2.229163764267956), 'reg_lambda': np.float64(0.9997491581800289), 'scale_pos_weight': np.float64(3.2962444598293357), 'subsample': np.float64(0.7334834444556088)}",0.978361543801386,0.9768765393757517,0.9797148461749434,0.9783176431173604,0.0011591496377741546,39
45.574206272761025,1.0971086258985023,0.35304586092631024,0.02238133027561109,0.6571467271687763,1.9526654188465586,0.011387059213756823,6,6,1105,0.0038938292050716417,9.922115592912174,4.087407548138582,0.8446612641953124,"{'colsample_bytree': np.float64(0.6571467271687763), 'gamma': np.float64(1.9526654188465586), 'learning_rate': np.float64(0.011387059213756823), 'max_depth': 6, 'min_child_weight': 6, 'n_estimators': 1105, 'reg_alpha': np.float64(0.0038938292050716417), 'reg_lambda': np.float64(9.922115592912174), 'scale_pos_weight': np.float64(4.087407548138582), 'subsample': np.float64(0.8446612641953124)}",0.9797978473138356,0.9783503687173662,0.9811256123170943,0.9797579427827654,0.0011333397661065854,1
33.58149226506551,0.44935403208938407,0.33486342430114746,0.0028231544400241643,0.6028265220878869,0.06918727512424727,0.03347916827555514,4,4,999,1.8318092164684585,4.56069984217036,4.925879806965068,0.6798695128633439,"{'colsample_bytree': np.float64(0.6028265220878869), 'gamma': np.float64(0.06918727512424727), 'learning_rate': np.float64(0.03347916827555514), 'max_depth': 4, 'min_child_weight': 4, 'n_estimators': 999, 'reg_alpha': np.float64(1.8318092164684585), 'reg_lambda': np.float64(4.56069984217036), 'scale_pos_weight': np.float64(4.925879806965068), 'subsample': np.float64(0.6798695128633439)}",0.9790687216534003,0.9775005770229803,0.9804121929082007,0.9789938305281938,0.00118984124325977,33
12.121764739354452,0.4799545939006192,0.16996264457702637,0.04225430903416335,0.8056937753654446,1.7772437065861273,0.011128853174905732,5,7,320,2.2524962598477147,0.13264961159866528,5.711008778424263,0.8253152871382157,"{'colsample_bytree': np.float64(0.8056937753654446), 'gamma': np.float64(1.7772437065861273), 'learning_rate': np.float64(0.011128853174905732), 'max_depth': 5, 'min_child_weight': 7, 'n_estimators': 320, 'reg_alpha': np.float64(2.2524962598477147), 'reg_lambda': np.float64(0.13264961159866528), 'scale_pos_weight': np.float64(5.711008778424263), 'subsample': np.float64(0.8253152871382157)}",0.9763396985919204,0.9750835540004136,0.9779017355724495,0.9764416627215944,0.0011527747267776427,49
33.69313017527262,2.251510985871921,0.2895627021789551,0.04912303062856511,0.7541666010159664,0.04789875666064258,0.017017424231383672,6,7,754,3.0499832889131047,8.331949117361644,1.8668232675388605,0.7564242430292963,"{'colsample_bytree': np.float64(0.7541666010159664), 'gamma': np.float64(0.04789875666064258), 'learning_rate': np.float64(0.017017424231383672), 'max_depth': 6, 'min_child_weight': 7, 'n_estimators': 754, 'reg_alpha': np.float64(3.0499832889131047), 'reg_lambda': np.float64(8.331949117361644), 'scale_pos_weight': np.float64(1.8668232675388605), 'subsample': np.float64(0.7564242430292963)}",0.9795033119088281,0.9781405438321349,0.9808001565535003,0.9794813374314878,0.001085893523065357,19
37.4021102587382,0.5980757876732604,0.38593562444051105,0.07973826757508883,0.672894435115225,2.2660842309529574,0.02661680203414797,4,4,1121,0.15656646227779292,8.422847745949985,3.248770666848828,0.7580600944007257,"{'colsample_bytree': np.float64(0.672894435115225), 'gamma': np.float64(2.2660842309529574), 'learning_rate': np.float64(0.02661680203414797), 'max_depth': 4, 'min_child_weight': 4, 'n_estimators': 1121, 'reg_alpha': np.float64(0.15656646227779292), 'reg_lambda': np.float64(8.422847745949985), 'scale_pos_weight': np.float64(3.248770666848828), 'subsample': np.float64(0.7580600944007257)}",0.9793385168848047,0.9777869018902006,0.9806662448779375,0.9792638878843144,0.0011766707628001816,29
32.56904951731364,0.6650445226546915,0.347949743270874,0.03058537679108251,0.9706635463175177,2.1818159875692626,0.02121000489791105,6,1,1001,1.6266516538163218,3.8867728968948203,2.3567451588694794,0.9314950036607718,"{'colsample_bytree': np.float64(0.9706635463175177), 'gamma': np.float64(2.1818159875692626), 'learning_rate': np.float64(0.02121000489791105), 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 1001, 'reg_alpha': np.float64(1.6266516538163218), 'reg_lambda': np.float64(3.8867728968948203), 'scale_pos_weight': np.float64(2.3567451588694794), 'subsample': np.float64(0.9314950036607718)}",0.9794611262745737,0.9779885803547209,0.9810441119358255,0.9794979395217066,0.0012476871194748746,15
9.381440003712973,0.633512570598578,0.1376020908355713,0.010961533403474017,0.7427013306774357,0.8428035290621423,0.03488960745139221,3,5,314,0.8263346953150125,0.1563640674119393,3.117007403531848,0.7579526072702278,"{'colsample_bytree': np.float64(0.7427013306774357), 'gamma': np.float64(0.8428035290621423), 'learning_rate': np.float64(0.03488960745139221), 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 314, 'reg_alpha': np.float64(0.8263346953150125), 'reg_lambda': np.float64(0.1563640674119393), 'scale_pos_weight': np.float64(3.117007403531848), 'subsample': np.float64(0.7579526072702278)}",0.9788534548560959,0.97764583970568,0.9800664984896597,0.9788552643504785,0.000988230638672618,35
22.308464368184406,0.520386927209192,0.21914434432983398,0.012039617878146766,0.7173952698872152,0.04223946814525337,0.015806743432481035,5,3,588,3.029799873905057,9.26300878513349,4.255385127509722,0.9659838702175123,"{'colsample_bytree': np.float64(0.7173952698872152), 'gamma': np.float64(0.04223946814525337), 'learning_rate': np.float64(0.015806743432481035), 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 588, 'reg_alpha': np.float64(3.029799873905057), 'reg_lambda': np.float64(9.26300878513349), 'scale_pos_weight': np.float64(4.255385127509722), 'subsample': np.float64(0.9659838702175123)}",0.9795178012825597,0.9781021665533169,0.9809111098627322,0.9795103592328696,0.0011467583781991472,14
47.65641132990519,1.103644248027766,0.4017780621846517,0.025058784255281956,0.9400154311159197,1.3483520224146102,0.012456903969877064,7,3,983,3.1877873567760657,8.872127425763265,3.3610746258097466,0.6478376983753207,"{'colsample_bytree': np.float64(0.9400154311159197), 'gamma': np.float64(1.3483520224146102), 'learning_rate': np.float64(0.012456903969877064), 'max_depth': 7, 'min_child_weight': 3, 'n_estimators': 983, 'reg_alpha': np.float64(3.1877873567760657), 'reg_lambda': np.float64(8.872127425763265), 'scale_pos_weight': np.float64(3.3610746258097466), 'subsample': np.float64(0.6478376983753207)}",0.9789343061072574,0.9776282830780094,0.9805573290782373,0.9790399727545013,0.00119811009458442,32
