mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
10.844054778416952,0.07263050744439437,0.16275938351949057,0.004175679267972208,True,balanced,log_loss,8,,3,4,151,"OrderedDict({'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_depth': 8, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 151})",0.9752949810919587,0.9745493997406275,0.9776302192352979,0.9758248666892947,0.0013123633260606485,17
11.280500173568726,0.15871549220806783,0.15854644775390625,0.011508316072730763,False,balanced,gini,19,,1,3,77,"OrderedDict({'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 19, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 77})",0.8889411151123895,0.8921736936182448,0.8918834497976208,0.8909994195094183,0.0014602563957456093,49
5.142626047134399,0.039794162686067946,0.24772262573242188,0.0028255020781118158,True,balanced,gini,10,sqrt,3,3,153,"OrderedDict({'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 153})",0.9760970447862631,0.9748205682648508,0.9779767141040121,0.9762981090517086,0.0012963112457130652,12
9.225247939427694,0.016663982371142964,0.43537410100301105,0.00592202904827685,False,,entropy,16,log2,1,7,176,"OrderedDict({'bootstrap': False, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 16, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 7, 'n_estimators': 176})",0.9743317060605421,0.9728177489122938,0.9770992569857653,0.9747495706528669,0.001772716551687377,25
17.35906132062276,0.07474230831913777,0.20820991198221842,0.004390641866483839,False,,entropy,15,,4,5,134,"OrderedDict({'bootstrap': False, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 134})",0.9375466606950679,0.9314530430581793,0.9463909684624815,0.9384635574052429,0.006132749711125853,48
9.14057207107544,0.166611158427831,0.10417318344116211,0.009858193659800361,False,balanced,gini,5,,2,5,112,"OrderedDict({'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 112})",0.9589063897319547,0.9582555763840865,0.9625422610403365,0.9599014090521258,0.0018861714169480226,45
5.111600240071614,0.026829555934273566,0.2550484339396159,0.0043084674239802796,False,balanced,entropy,18,log2,3,6,90,"OrderedDict({'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 18, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 90})",0.9751566453197776,0.9741630902879628,0.9768467149561277,0.9753888168546228,0.0011078170896226859,21
0.8700704574584961,0.02006136506345233,0.046077887217203774,0.0067064838506834335,False,balanced,entropy,17,sqrt,1,5,15,"OrderedDict({'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 17, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 15})",0.9713849785670056,0.9712846852727641,0.9736249212011381,0.9720981950136359,0.0010803346163484435,37
3.252660353978475,0.027329148865020216,0.1298980712890625,0.003643837545354338,False,balanced,log_loss,9,log2,2,2,80,"OrderedDict({'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_depth': 9, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 80})",0.975862904510934,0.9741858202564642,0.9772814139763112,0.9757767129145698,0.0012652395986668416,18
1.1675772666931152,0.002442543231006639,0.060861428578694664,0.004351301174250458,True,balanced,log_loss,7,log2,2,4,39,"OrderedDict({'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 39})",0.9731076768758691,0.9720437571168667,0.9751411375575806,0.9734308571834388,0.0012849839251990168,31
3.7091809113820395,0.014194502537966,0.11388691266377766,0.005846202456117531,False,,entropy,2,log2,3,2,200,"OrderedDict({'bootstrap': False, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 2, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 200})",0.9456819210453742,0.9430514186255217,0.948485200804205,0.9457395134917003,0.002218706058156329,47
8.713029543558756,0.029328177841707343,0.5642491976420084,0.004864063884496247,True,,log_loss,20,sqrt,1,2,200,"OrderedDict({'bootstrap': True, 'class_weight': None, 'criterion': 'log_loss', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200})",0.9718600899523606,0.9701205472059895,0.9750323127181272,0.9723376499588258,0.002033454823920368,36
0.4415373007456462,0.004864938019136865,0.02571845054626465,0.0014689796579523374,False,,entropy,10,log2,1,8,10,"OrderedDict({'bootstrap': False, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 10})",0.9715479817475732,0.9683386449632927,0.9715553481823632,0.9704806582977431,0.0015146351397421678,41
7.850403467814128,0.025645389837896843,0.44168678919474286,0.002226386243389852,True,balanced,log_loss,15,log2,5,7,200,"OrderedDict({'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 7, 'n_estimators': 200})",0.9764050417563195,0.9750836176443253,0.9782667499474432,0.9765851364493626,0.0013057330989741582,8
1.0668096542358398,0.00966373862204908,0.0177462895711263,0.0033396648587689284,False,,entropy,10,,5,5,10,"OrderedDict({'bootstrap': False, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 10})",0.9749141097575973,0.9710466388586414,0.9750794483180978,0.9736800656447788,0.0018633369150275656,30
6.071653127670288,0.023552490157971825,0.2653321425120036,0.0007122421445265346,True,,entropy,8,log2,5,3,198,"OrderedDict({'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 3, 'n_estimators': 198})",0.9687553527912374,0.965650762544074,0.9704950791597922,0.9683003981650344,0.002003678060011686,43
0.44539642333984375,0.0029683658359937713,0.012734254201253256,0.0009368110154906265,False,,entropy,2,,5,8,10,"OrderedDict({'bootstrap': False, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 2, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 10})",0.8279307282415631,0.8300044385264091,0.8376998223801067,0.8318783297160263,0.004202570738236701,50
14.895076990127563,0.23857918135991613,0.2283306916554769,0.005958723304533719,True,balanced,gini,9,,1,2,200,"OrderedDict({'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200})",0.9762778299666081,0.9747139010686667,0.9781695043474268,0.9763870784609004,0.0014128576078697552,11
9.172811508178711,0.05541011646232327,0.4749289353688558,0.009663242434198398,False,,gini,13,log2,1,2,200,"OrderedDict({'bootstrap': False, 'class_weight': None, 'criterion': 'gini', 'max_depth': 13, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200})",0.9726125914385901,0.9708205302239754,0.9755943742760929,0.9730091653128862,0.001968984490681239,33
16.944910367329914,0.22891534002132435,0.2689170042673747,0.0008032825509604434,True,balanced,gini,12,,1,2,200,"OrderedDict({'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 12, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200})",0.9763536513221804,0.9744495151670443,0.9780047025719992,0.9762692896870746,0.0014526245294169936,13
5.864264885584514,0.049985780851633216,0.19417730967203775,0.008448108457009133,False,balanced,gini,5,sqrt,5,2,200,"OrderedDict({'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 200})",0.9709780663807964,0.968936097639362,0.9716781627077978,0.9705307755759853,0.0011632660939313471,40
12.4997239112854,0.028819404850743243,0.1826016902923584,0.0021025984403065397,True,balanced,entropy,7,,1,6,184,"OrderedDict({'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 7, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 184})",0.9731461060058226,0.9729824411720684,0.9759302995641111,0.9740196155806674,0.0013527087658702379,28
8.044939994812012,0.016681097951994833,0.5038445790608724,0.0022020792338084036,True,,gini,18,log2,5,8,200,"OrderedDict({'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': 18, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 200})",0.9719962518636991,0.9700262542046576,0.975666141910938,0.9725628826597649,0.002337075976393141,35
6.3316272894541425,0.07515388008261019,0.3685547510782878,0.010725912708387679,True,balanced,gini,8,sqrt,1,2,200,"OrderedDict({'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200})",0.9747757557941122,0.9732942326959977,0.976300589633428,0.9747901927078461,0.0012273825340041046,23
16.14829953511556,0.3322779966619056,0.21483000119527182,0.004009049189904573,True,balanced,gini,8,,1,2,200,"OrderedDict({'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 8, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200})",0.9755399542888911,0.974180165040301,0.9775381310812836,0.9757527501368252,0.0013791169971571426,19
16.595601479212444,0.1454119426200604,0.24299796422322592,0.008025806254810157,True,balanced,log_loss,11,,1,8,200,"OrderedDict({'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_depth': 11, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 200})",0.976736523699995,0.97503722123262,0.9784221828174348,0.9767319759166831,0.0013819085219163695,2
15.445780754089355,0.3004844585832495,0.16486779848734537,0.0028981871827663207,False,balanced,gini,9,,2,3,150,"OrderedDict({'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 150})",0.9732891988040309,0.9711003815961663,0.975555934475731,0.9733151716253093,0.001819064559278227,32
2.6420979499816895,0.026275640410528083,0.15406537055969238,0.004072910399662526,True,,entropy,14,sqrt,5,2,69,"OrderedDict({'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 14, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 69})",0.9739157255092292,0.9716601388924726,0.9764242955692828,0.9740000533236616,0.0019458726569355214,29
0.4606866041819255,0.011487104191173717,0.03310243288675944,0.0017412829972780833,True,balanced,entropy,19,log2,5,8,10,"OrderedDict({'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 19, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 10})",0.9703067163022464,0.9668405309233314,0.972401387631313,0.9698495449522969,0.00229311085123635,42
0.6383612155914307,0.0017455890908555287,0.03868508338928223,0.0025545569429345893,True,balanced,log_loss,12,sqrt,5,8,16,"OrderedDict({'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_depth': 12, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 16})",0.9753377306566406,0.9740998373316166,0.9772183239490254,0.9755519639790943,0.001282097664786507,20
1.271740436553955,0.008604784094747315,0.06612523396809895,0.000879539232882413,True,balanced,gini,8,sqrt,3,2,42,"OrderedDict({'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 42})",0.9738405863275614,0.972707526749036,0.9763335991070468,0.9742939040612146,0.0015146447134814101,27
