mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_penalty,param_solver,param_l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.3012111981709798,0.04329959644096306,0.007799943288167317,0.002615140831034604,0.46665408703686484,3756,l2,lbfgs,,"OrderedDict({'C': 0.46665408703686484, 'max_iter': 3756, 'penalty': 'l2', 'solver': 'lbfgs'})",0.9407361430698858,0.9380199202884026,0.9451876534891356,0.9413145722824746,0.0029546612975324747,21
0.33132092157999676,0.02241538368575159,0.0074223677317301435,0.001450132571031392,74.88174047459994,1516,l2,lbfgs,,"OrderedDict({'C': 74.88174047459994, 'max_iter': 1516, 'penalty': 'l2', 'solver': 'lbfgs'})",0.9403318927572045,0.937654834450023,0.9445459655286782,0.9408442309119686,0.0028365224805998288,54
0.3286304473876953,0.06545518744688636,0.005879561106363933,0.0007258141456271386,62.7076678988192,2314,l2,lbfgs,,"OrderedDict({'C': 62.7076678988192, 'max_iter': 2314, 'penalty': 'l2', 'solver': 'lbfgs'})",0.9404838731159826,0.9375968805416938,0.9445228923547634,0.9408678820041466,0.002840540679558113,52
0.44490941365559894,0.09231100467344994,0.005800485610961914,0.004125246548409546,25.361101250718455,3818,l2,lbfgs,,"OrderedDict({'C': 25.361101250718455, 'max_iter': 3818, 'penalty': 'l2', 'solver': 'lbfgs'})",0.9404073676145632,0.9375687360308089,0.9445930633475972,0.9408563889976564,0.0028851930859939163,53
0.31418395042419434,0.02212267888632926,0.00778500239054362,0.0019663108810617004,5.0405293861834055,3326,l2,lbfgs,,"OrderedDict({'C': 5.0405293861834055, 'max_iter': 3326, 'penalty': 'l2', 'solver': 'lbfgs'})",0.9403717707543172,0.9377097757064826,0.9446995488203385,0.9409270317603795,0.0028804476659523405,50
0.28319962819417316,0.05947746362869147,0.002913792928059896,0.001878466908583477,1.8214548318355843,3760,l2,lbfgs,,"OrderedDict({'C': 1.8214548318355843, 'max_iter': 3760, 'penalty': 'l2', 'solver': 'lbfgs'})",0.9405225619084103,0.937802692232559,0.9448315654339753,0.9410522731916483,0.00289386824775988,49
0.3041978677113851,0.09274422917919557,0.007938464482625326,0.00017004068479972422,540.5898881406362,3102,l2,lbfgs,,"OrderedDict({'C': 540.5898881406362, 'max_iter': 3102, 'penalty': 'l2', 'solver': 'lbfgs'})",0.9404830010325469,0.9375114163649786,0.944485864271539,0.9408267605563548,0.0028576632479455186,58
0.09409904479980469,0.009902636754170016,0.00786916414896647,0.002413827394962021,0.0010514335809941064,3453,l2,lbfgs,,"OrderedDict({'C': 0.0010514335809941064, 'max_iter': 3453, 'penalty': 'l2', 'solver': 'lbfgs'})",0.8960856297140074,0.8934494800479996,0.8979735172294366,0.8958362089971478,0.0018553321580883522,74
0.3225167592366536,0.1165330441977894,0.005113045374552409,0.0036614515762525006,188.28482679944074,2075,l2,lbfgs,,"OrderedDict({'C': 188.28482679944074, 'max_iter': 2075, 'penalty': 'l2', 'solver': 'lbfgs'})",0.9404791162972416,0.9375080865918599,0.9445153598753065,0.940834187588136,0.0028717040740576937,56
0.3033788204193115,0.05424863620305601,0.007437547047932942,0.002735743072563252,194.47801173134718,1922,l2,lbfgs,,"OrderedDict({'C': 194.47801173134718, 'max_iter': 1922, 'penalty': 'l2', 'solver': 'lbfgs'})",0.9404769757288081,0.9375681810686225,0.9444182305349432,0.9408211291107912,0.0028070893092915165,59
0.23887435595194498,0.008902810868683159,0.004205862681070964,0.0027894922493709113,0.04368612524571851,1016,l2,lbfgs,,"OrderedDict({'C': 0.04368612524571851, 'max_iter': 1016, 'penalty': 'l2', 'solver': 'lbfgs'})",0.9401086393976219,0.9367556371473296,0.9449192593527032,0.9405945119658848,0.0033504463376750294,63
0.2614742914835612,0.009141584298194337,0.005809386571248372,0.0015386430308101172,0.12508577120242823,1000,l2,lbfgs,,"OrderedDict({'C': 0.12508577120242823, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'})",0.940791639288532,0.9379602222132019,0.9456244580083697,0.9414587731700346,0.003164272248387132,14
0.3385106722513835,0.09416835876671951,0.00791629155476888,0.001631826599187346,994.1492144607399,1151,l2,lbfgs,,"OrderedDict({'C': 994.1492144607399, 'max_iter': 1151, 'penalty': 'l2', 'solver': 'lbfgs'})",0.9404809397444257,0.9376330323641261,0.9445296319416456,0.9408812013500659,0.0028297147615820284,51
0.15080157915751138,0.00728273201362702,0.006585597991943359,0.0016169838760696235,0.010276972365850616,3984,l2,lbfgs,,"OrderedDict({'C': 0.010276972365850616, 'max_iter': 3984, 'penalty': 'l2', 'solver': 'lbfgs'})",0.9348227038518815,0.9301393779603268,0.9388445921832368,0.9346022246651483,0.0035573067500124017,68
0.2658572196960449,0.011532859946375377,0.005816300710042317,0.0005999897955515804,0.06927146732920093,3991,l2,lbfgs,,"OrderedDict({'C': 0.06927146732920093, 'max_iter': 3991, 'penalty': 'l2', 'solver': 'lbfgs'})",0.9405376251677572,0.9375311571627543,0.9454486737246264,0.9411724853517125,0.003263337015669569,25
0.3089086214701335,0.0121789631794042,0.007942835489908854,0.0004350929531004786,0.8925778938925738,1001,l2,lbfgs,,"OrderedDict({'C': 0.8925778938925738, 'max_iter': 1001, 'penalty': 'l2', 'solver': 'lbfgs'})",0.9406167469194842,0.937715721729909,0.9449728588907321,0.9411017758467084,0.0029824989229317025,48
