mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3.7643421490987143,0.06850829735950789,0.06380112965901692,0.00048069885621625,True,balanced,gini,16,,4,6,30,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 16, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 30}",0.9742655624787617,0.9718777556109065,0.976946589307281,0.9743633024656497,0.0020704964926562784,17
12.330371379852295,0.2514477927259555,0.1784687042236328,0.008624506245709011,True,balanced,log_loss,12,,4,6,109,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_depth': 12, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 109}",0.976520756641827,0.9747445865261438,0.9783296762462846,0.9765316731380852,0.0014636271047829006,2
5.222582658131917,0.024045992673487757,0.16867534319559732,0.0038467620719304786,False,balanced,log_loss,3,log2,2,3,197,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 197}",0.96420334276128,0.963137419006985,0.9653141563178769,0.9642183060287138,0.0008887122724055665,36
3.3623862266540527,0.04273951833778902,0.15653793017069498,0.0020620076297729445,True,,entropy,13,sqrt,1,4,68,"{'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 13, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 68}",0.973680057164354,0.9719332258260375,0.9763745221221506,0.973995935037514,0.0018268574694505848,20
3.329840580622355,0.02252372176384029,0.15881959597269693,0.00247239131807191,True,balanced,log_loss,16,log2,3,5,64,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_depth': 16, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64}",0.9756216878183024,0.9743927357057274,0.9770648376283184,0.9756930870507827,0.001092048704340538,10
2.6243677139282227,0.006159534954831982,0.0900882085164388,0.0018145331215963054,False,balanced,gini,4,sqrt,3,6,82,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 82}",0.9681470264858111,0.9642638344180348,0.9696306930290323,0.9673471846442928,0.0022628305380934075,33
4.944341421127319,0.0658330721963077,0.2325166861216227,0.0033991142102204252,True,balanced,gini,15,log2,2,2,99,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 99}",0.9755199347587069,0.9745281881340219,0.9772223807760394,0.9757568345562561,0.0011125824714403503,9
3.756561279296875,0.14197853834810048,0.16762995719909668,0.028296709215014433,True,balanced,log_loss,8,sqrt,4,4,90,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 90}",0.9743584199906423,0.9736377825319175,0.9765933906683666,0.9748631977303089,0.001258307140277011,15
3.0307037830352783,0.05341936138856301,0.10259739557902019,0.0013998242394392805,False,balanced,entropy,7,log2,2,5,63,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 63}",0.9729436276953146,0.9716319082715938,0.9752755586105262,0.9732836981924783,0.0015068251182273349,21
1.1186888217926025,0.004314524296877017,0.0583803653717041,0.00047549731047846864,True,,entropy,13,log2,2,7,23,"{'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 13, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 23}",0.9718251171701898,0.9717566230627679,0.9754506934700076,0.9730108112343218,0.0017254838652195055,22
